prefix,number,session,title
H.R.,5651,112,"Food and Drug Administration Reform Act of 2012"
H.R.,4970,112,"Violence Against Women Reauthorization Act of 2012"
H.R.,3534,112,"Security in Bonding Act of 2012"
H.R.,1864,112,"Mobile Workforce State Income Tax Simplification Act of 2012"
H.R.,4133,112,"United States-Israel Enhanced Security Cooperation Act of 2012"
H.R.,4628,112,"Interest Rate Reduction Act"
H.R.,3523,112,"Cyber Intelligence Sharing and Protection Act"
H.R.,2096,112,"Cybersecurity Enhancement Act of 2012"
H.R.,3834,112,"Advancing America's Networking and Information Technology Research and Development Act of 2012"
H.R.,4257,112,"Federal Information Security Amendments Act of 2012"
S.,1925,112,"Violence Against Women Reauthorization Act of 2012"
S.,1789,112,"21st Century Postal Service Act of 2012"
H.R.,2146,112,"DATA Act"
H.R.,3336,112,"Small Business Credit Availability Act'"
S.,1813,112,"MAP-21"
H.R.,9,112,"Small Business Tax Cut Act"
H.R.,4089,112,"Sportsmen's Heritage Act of 2012"
H.R.,5,112,"Protecting Access to Healthcare Act"
H.R.,3309,112,"Federal Communications Commission Process Reform Act of 2012"
H.R.,2682,112,"Business Risk Mitigation and Price Stabilization Act of 2012"
H.R.,2779,112,"To Exempt Inter-Affiliate Swaps from Certain Regulatory Requirements Put in Place by the Dodd-Frank Wall Street Reform and Consumer Protection Act."
S.,1855,112,"Pandemic and All-Hazards Preparedness Act Reauthorization of 2011"
H.R.,1837,112,"Sacramento-San Joaquin Valley Water Reliability Act"
H.R.,1433,112,"Private Property Rights Protection Act of 2012"
H.R.,2117,112,"Protecting Academic Freedom in Higher Education Act"
H.R.,1173,112,"Fiscal Responsibility and Retirement Security Act of 2011"
H.R.,1734,112,"Civilian Property Realignment Act"
H.R.,3521,112,"Expedited Legislative Line-Item Veto and Rescissions Act of 2012"
H.R.,3581,112,"Budget and Accounting Transparency Act of 2012"
H.R.,1904,112,"Southeast Arizona Land Exchange and Conservation Act of 2011"
H.R.,3582,112,"Pro-Growth Budgeting Act of 2012"
H.R.,3578,112,"Baseline Reform Act of 2012"
H.R.,3835,112,"To Extend the Pay Limitation for Members of Congress and Federal Employees."
H.R.,2354,112,"Energy and Water Development and Related Agencies Appropriations Act, 2012"
H.R.,3012,112,"Fairness for High-Skilled Immigrants Act of 2011"
H.R.,2594,112,"European Union Emissions Trading Scheme Prohibition Act of 2011"
H.R.,3094,112,"Workforce Democracy and Fairness Act"
H.R.,3659,112,"Welfare Integrity and Data Improvement Act"
S.J.Res.,10,112,"Joint Resolution Proposing a Balanced Budget Amendment to the Constitution of the United States."
H.R.,313,112,"Drug Trafficking Safe Harbor Elimination Act of 2011"
H.R.,1633,112,"Farm Dust Regulation Prevention Act of 2011"
H.R.,1254,112,"Synthetic Drug Control Act of 2011"
H.R.,2360,112,"Providing for Our Workforce and Energy Resources Act, or POWER Act"
H.R.,10,112,"Regulations From the Executive in Need of Scrutiny Act of 2011"
H.R.,2405,112,"Pandemic and All-Hazards Preparedness Reauthorization Act of 2011"
H.R.,3463,112,"To Reduce Federal Spending and the Deficit by Terminating Taxpayer Financing of Presidential Election Campaigns and Party Conventions and by Terminating the Election Assistance Commission."
H.R.,3010,112,"Regulatory Accountability Act of 2011"
H.R.,527,112,"Regulatory Flexibility Improvements Act of 2011"
H.R.,2930,112,"Entrepreneur Access to Capital Act"
H.R.,2465,112,"Federal Workers' Compensation Modernization and Improvement Act"
H.R.,822,112,"National Right-To-Carry Reciprocity Act of 2011"
S.Res.,251,112,"A Resolution Expressing Support for Improvement in the Collection, Processing, and Consumption of Recyclable Materials Throughout the United States."
H.R.,2940,112,"Access to Capital for Job Creators Act"
H.R.,1070,112,"Small Company Capital Formation Act of 2011"
H.R.,1965,112,"To Amend the Securities Laws to Establish Certain Thresholds for Shareholder Registration, and for Other Purposes."
H.R.,1002,112,"Wireless Tax Fairness Act of 2011"
