H.R. 3463 (112th), To Reduce Federal Spending and the Deficit by Terminating Taxpayer Financing of Presidential Election Campaigns and Party Conventions and by Terminating the Election Assistance Commission.
H.R. 3010 (112th), Regulatory Accountability Act of 2011
H.R. 527 (112th), Regulatory Flexibility Improvements Act of 2011
H.R. 2930 (112th), Entrepreneur Access to Capital Act
H.R. 2465 (112th), Federal Workers' Compensation Modernization and Improvement Act
H.R. 822 (112th), National Right-To-Carry Reciprocity Act of 2011
S.Res. 251 (112th), A Resolution Expressing Support for Improvement in the Collection, Processing, and Consumption of Recyclable Materials Throughout the United States.
H.R. 2940 (112th), Access to Capital for Job Creators Act
H.R. 1070 (112th), Small Company Capital Formation Act of 2011
H.R. 1965 (112th), To Amend the Securities Laws to Establish Certain Thresholds for Shareholder Registration, and for Other Purposes.
H.R. 1002 (112th), Wireless Tax Fairness Act of 2011
H.R. 2576 (112th), To Amend the Internal Revenue Code of 1986 to Modify the Calculation of Modified Adjusted Gross Income for Purposes of Determining Eligibility for Certain Healthcare-Related Programs.
S. 275 (112th), Pipeline Transportation Safety Improvement Act of 2011
H.R. 2250 (112th), EPA Regulatory Relief Act of 2011
H.R. 2273 (112th), Coal Residuals Reuse and Management Act
H.R. 358 (112th), Protect Life Act
H.R. 2433 (112th), Veterans Opportunity to Work Act of 2011
H.R. 1025 (112th), To Amend Title 38, United States Code, to Recognize the Service in the Reserve Components of Certain Persons by Honoring Them with Status As Veterans Under Law.
S. 1619 (112th), Currency Exchange Rate Oversight Reform Act of 2011
H.R. 2681 (112th), Cement Sector Regulatory Relief Act of 2011
H.R. 2401 (112th), Transparency in Regulatory Analysis of Impacts on the Nation Act of 2011
H.R. 2587 (112th), Protecting Jobs From Government Interference Act
H.R. 2218 (112th), Empowering Parents Through Quality Charter Schools Act
H.R. 1938 (112th), North American-Made Energy Security Act
H.R. 2560 (112th), Cut, Cap, and Balance Act of 2011
H.R. 1315 (112th), Consumer Financial Protection Safety and Soundness Improvement Act of 2011
H.R. 2018 (112th), Clean Water Cooperative Federalism Act of 2011
H.R. 2417 (112th), Better Use of Light Bulbs Act
H.R. 2021 (112th), Jobs and Energy Permitting Act of 2011
H.R. 872 (112th), Reducing Regulatory Burdens Act of 2011
H.Res. 292 (112th), Declaring That the President Shall Not Deploy, Establish, or Maintain the Presence of Units and Members of the United States Armed Forces on the Ground in Libya, and for Other Purposes.
H.R. 1954 (112th), To Implement the President's Request to Increase the Statutory Limit on the Public Debt.
H.Con.Res. 34 (112th), Establishing the Budget for the United States Government for Fiscal Year 2012 and Setting Forth Appropriate Budgetary Levels for Fiscal Years 2013 Through 2021.
H.R. 1231 (112th), Reversing President Obama's Offshore Moratorium Act
H.R. 1229 (112th), Putting the Gulf of Mexico Back to Work Act
H.R. 3 (112th), No Taxpayer Funding for Abortion Act
H.R. 1230 (112th), Restarting American Offshore Leasing Now Act
H.R. 1213 (112th), To Repeal Mandatory Funding Provided to States in the Patient Protection and Affordable Care Act to Establish American Health Benefit Exchanges.
S. 216 (112th), Food Safety Accountability Act of 2011
H.R. 1217 (112th), To Repeal the Prevention and Public Health Fund.
H.J.Res. 37 (112th), Disapproving the Rule Submitted by the Federal Communications Commission with Respect to Regulating the Internet and Broadband Industry Practices.
H.R. 910 (112th), Energy Tax Prevention Act of 2011
S. 223 (112th), FAA Air Transportation Modernization and Safety Improvement Act
H.R. 471 (112th), Scholarships for Opportunity and Results Act
H.R. 839 (112th), HAMP Termination Act of 2011
H.R. 1076 (112th), To Prohibit Federal Funding of National Public Radio and the Use of Federal Funds to Acquire Radio Content.
H.R. 861 (112th), NSP Termination Act
H.R. 830 (112th), FHA Refinance Program Termination Act
H.R. 836 (112th), Emergency Mortgage Relief Program Termination Act
H.R. 570 (112th), Dental Emergency Responder Act of 2011
H.R. 525 (112th), Veterinary Public Health Amendments Act of 2011
S. 23 (112th), America Invents Act
H.R. 386 (112th), Securing Aircraft Cockpits Against Lasers Act of 2011
H.R. 359 (112th), To Reduce Federal Spending and the Deficit by Terminating Taxpayer Financing of Presidential Election Campaigns and Party Conventions.
H.R. 2 (112th), Repealing the Job-Killing Health Care Law Act
H.Res. 9 (112th), Instructing Certain Committees to Report Legislation Replacing the Job-Killing Health Care Law.
H.R. 1 (112th), Disaster Relief Appropriations Act, 2013
S. 1440 (112th), PREEMIE Reauthorization Act
H.J.Res. 66 (112th), Emergency Supplemental Disaster Relief Appropriations Resolution, 2011
S. 627 (112th), Budget Control Act of 2011
H.R. 6621 (112th), To Correct and Improve Certain Provisions of the Leahy-Smith America Invents Act and Title 35, United States Code.
H.R. 4606 (112th), To Authorize the Issuance of Right-Of-Way Permits for Natural Gas Pipelines in Glacier National Park, and for Other Purposes.
S. 3454 (112th), Intelligence Authorization Act for Fiscal Year 2013
H.R. 4310 (112th), National Defense Authorization Act for Fiscal Year 2013
H.R. 8 (112th), American Taxpayer Relief Act of 2012
H.R. 5949 (112th), FISA Amendments Act Reauthorization Act of 2012
H.R. 2838 (112th), Coast Guard and Maritime Transportation Act of 2012
S. 3542 (112th), No-Hassle Flying Act of 2012
H.R. 4014 (112th), To Amend the Federal Deposit Insurance Act with Respect to Information Provided to the Bureau of Consumer Financial Protection.
H.R. 4367 (112th), To Amend the Electronic Fund Transfer Act to Limit the Fee Disclosure Requirement for an Automatic Teller Machine to the Screen of That Machine.
H.R. 6582 (112th), American Energy Manufacturing Technical Corrections Act
H.R. 6156 (112th), Russia and Moldova Jackson-Vanik Repeal and Sergei Magnitsky Rule of Law Accountability Act of 2012
H.R. 6118 (112th), Taking Essential Steps for Testing Act of 2012
H.R. 6131 (112th), To Extend the Undertaking Spam, Spyware, And Fraud Enforcement With Enforcers Beyond Borders Act of 2006, and for Other Purposes.
S. 2038 (112th), STOCK Act
S. 743 (112th), Whistleblower Protection Enhancement Act of 2012
S. 1956 (112th), European Union Emissions Trading Scheme Prohibition Act of 2011
H.R. 2706 (112th), Billfish Conservation Act of 2012
S. 710 (112th), Hazardous Waste Electronic Manifest Establishment Act
H.R. 1905 (112th), Iran Threat Reduction and Syria Human Rights Act of 2012
S. 679 (112th), Presidential Appointment Efficiency and Streamlining Act of 2011
H.R. 5872 (112th), Sequestration Transparency Act of 2012
S. 1335 (112th), Pilot's Bill of Rights
S. 2165 (112th), United States-Israel Enhanced Security Cooperation Act of 2012
S. 3187 (112th), Food and Drug Administration Safety and Innovation Act
H.R. 4348 (112th), MAP-21
H.R. 2072 (112th), Export-Import Bank Reauthorization Act of 2012
H.R. 3606 (112th), Jumpstart Our Business Startups Act
H.R. 4281 (112th), Surface Transportation Extension Act of 2012
H.R. 4105 (112th), To Apply the Countervailing Duty Provisions of the Tariff Act of 1930 to Nonmarket Economy Countries, and for Other Purposes.
H.R. 3630 (112th), Middle Class Tax Relief and Job Creation Act of 2012
H.R. 658 (112th), FAA Modernization and Reform Act of 2012
H.R. 2845 (112th), Pipeline Safety, Regulatory Certainty, and Job Creation Act of 2011
H.R. 2056 (112th), To Instruct the Inspector General of the Federal Deposit Insurance Corporation to Study the Impact of Insured Depository Institution Failures, and for Other Purposes.
